id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,67162.0,1323886730878,1,1410388904663.0,23541463344.0,68507.0,66426.0,-1344.7661213787069,-1.96297,-13884940577.466797,-1.03792,19712025.0,21000000.0,21000000.0,73738.0,-8.83936,2024-03-14T07:10:36.635Z,67.81,99031.34788,2013-07-06T00:00:00.000Z,,2024-06-14T12:33:01.822Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3518.95,422783209892,2,422783209892.0,13634176797.0,3531.11,3434.52,-12.159907313492113,-0.34437,1913985773.0,0.45477,120151113.78671,120151113.78671,,4878.26,-27.78349,2021-11-10T14:24:19.604Z,0.432979,813544.6553,2015-10-20T00:00:00.000Z,"{'times': 69.05037165732348, 'currency': 'btc', 'percentage': 6905.037165732348}",2024-06-14T12:32:58.339Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.99866,112514547533,3,112514547533.0,44856433290.0,1.002,0.997797,0.00080904,0.08108,-57455270.45713806,-0.05104,112559449770.646,112559449770.646,,1.32,-24.42578,2018-07-24T00:00:00.000Z,0.572521,74.65192,2015-03-02T00:00:00.000Z,,2024-06-14T12:31:26.129Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,611.55,94062366785,4,94062366785.0,949874290.0,612.4,595.5,2.04,0.3344,993624461.0,1.06762,153856150.0,153856150.0,200000000.0,717.48,-14.68588,2024-06-06T14:10:59.816Z,0.0398177,1537175.64781,2017-10-19T00:00:00.000Z,,2024-06-14T12:32:53.225Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1696504756,148.74,68589356008,5,85899126240.0,2154849208.0,152.47,146.31,-3.7298135780972927,-2.44628,-919298694.0223923,-1.32257,461659907.581097,578168173.452924,,259.96,-42.79827,2021-11-06T21:54:35.825Z,0.500801,29592.65722,2020-05-11T19:35:23.449Z,,2024-06-14T12:32:52.342Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3519.32,33550260611,6,33550260611.0,94639856.0,3525.63,3437.16,6.86,0.19526,217606830.0,0.65283,9539662.53215772,9539662.53215772,,4829.57,-27.10023,2021-11-10T14:40:47.256Z,482.9,629.08951,2020-12-22T04:08:21.854Z,,2024-06-14T12:32:26.022Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999649,32468148756,7,32469341332.0,6202873269.0,1.002,0.997704,-5.9515448232017e-05,-0.00595,1873735.0,0.00577,32489231401.1952,32490424751.7952,,1.17,-14.61339,2019-05-08T00:40:28.300Z,0.877647,14.09308,2023-03-11T08:02:13.981Z,,2024-06-14T12:32:56.071Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.478557,26587209164,8,47838172433.0,929978005.0,0.489532,0.475692,-0.01097512017315866,-2.24196,-358611874.835762,-1.33086,55570463728.0,99987531962.0,100000000000.0,3.4,-85.89538,2018-01-07T00:00:00.000Z,0.00268621,17744.44051,2014-05-22T00:00:00.000Z,,2024-06-14T12:32:56.846Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.14244,20604342359,9,20607590752.0,700091668.0,0.145121,0.140568,-0.002570280671987196,-1.77249,-254884941.98349,-1.22193,144682346383.705,144705156383.705,,0.731578,-80.49933,2021-05-08T05:08:23.458Z,8.69e-05,164061.66238,2015-05-06T00:00:00.000Z,,2024-06-14T12:32:52.753Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498,8.09,19689263079,10,41335942675.0,758122691.0,8.13,7.34,0.46188,6.05354,1258466655.0,6.82806,2432852207.47332,5107567458.42326,,8.13,-0.10728,2024-06-14T12:16:40.991Z,0.519364,1463.93025,2021-09-21T00:33:11.092Z,,2024-06-14T12:32:53.803Z
