SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2016-03-10,11.75,11.2,11.85,11.07,0.0,4.91
2,2016-03-11,11.95,11.75,11.95,11.75,180.0,1.70
3,2016-03-12,12.92,11.95,13.45,11.95,830.0,8.12
4,2016-03-13,15.07,12.92,15.07,12.92,1300.0,16.64
5,2016-03-14,12.5,15.07,15.07,11.4,92180.0,-17.05
6,2016-03-15,13.06,12.63,13.42,11.98,39730.0,4.48
7,2016-03-16,12.88,13.06,13.89,12.62,19240.0,-1.38
8,2016-03-17,10.74,12.58,12.61,10.44,89450.0,-16.61
9,2016-03-18,10.74,11.09,11.2,8.34,157370.0,0.00
10,2016-03-19,10.31,10.97,11.1,9.78,67550.0,-4.00
11,2016-03-20,10.18,10.55,10.88,9.56,33180.0,-1.26
12,2016-03-21,11.95,10.18,12.05,10.14,38860.0,17.39
13,2016-03-22,11.37,11.53,11.97,11.08,26290.0,-4.85
14,2016-03-23,12.43,11.37,12.43,11.2,27020.0,9.32
15,2016-03-24,11.2,12.43,12.47,10.67,50800.0,-9.90
16,2016-03-25,10.67,11.32,11.35,10.52,87420.0,-4.73
17,2016-03-26,11.0,10.67,11.2,10.58,16120.000000000002,3.09
18,2016-03-27,10.4,10.93,10.98,10.17,55810.0,-5.45
19,2016-03-28,11.62,10.4,11.94,10.4,77310.0,11.73
20,2016-03-29,11.79,11.78,11.88,11.37,47570.0,1.46
21,2016-03-30,11.85,11.79,12.3,11.44,36960.0,0.51
22,2016-03-31,11.41,11.92,12.02,11.29,32670.0,-3.71
23,2016-04-01,11.62,11.41,11.94,11.39,22200.0,1.84
24,2016-04-02,11.61,11.65,11.77,11.43,12170.0,-0.09
25,2016-04-03,11.75,11.61,11.76,11.4,18850.0,1.21
26,2016-04-04,11.15,11.6,11.67,10.88,38740.0,-5.11
27,2016-04-05,10.4,11.15,11.15,9.7,53390.0,-6.73
28,2016-04-06,10.76,10.4,10.96,10.2,40040.0,3.46
29,2016-04-07,10.12,10.76,10.85,9.4,50740.0,-5.95
30,2016-04-08,9.71,10.05,10.34,9.6,25970.0,-4.05
31,2016-04-09,9.15,9.69,10.2,9.0,64959.99999999999,-5.77
32,2016-04-10,8.76,9.15,9.43,7.52,171990.0,-4.26
33,2016-04-11,8.68,8.56,8.93,8.01,60280.0,-0.91
34,2016-04-12,7.53,8.53,8.54,7.21,63820.0,-13.25
35,2016-04-13,8.09,7.48,8.8,6.86,142210.0,7.44
36,2016-04-14,8.46,8.08,8.86,8.0,36150.0,4.57
37,2016-04-15,8.32,8.39,8.69,8.1,30480.0,-1.65
38,2016-04-16,8.54,8.23,8.68,8.18,29260.0,2.64
39,2016-04-17,9.46,8.7,10.9,8.61,96050.0,10.77
40,2016-04-18,8.97,9.3,9.55,8.44,37880.0,-5.18
41,2016-04-19,8.71,8.97,9.38,8.65,35260.0,-2.90
42,2016-04-20,8.61,8.73,9.05,8.35,167710.0,-1.15
43,2016-04-21,8.11,8.61,8.8,8.0,45520.0,-5.81
44,2016-04-22,7.97,8.23,8.41,7.73,97370.0,-1.73
45,2016-04-23,8.46,7.95,8.8,7.81,89570.0,6.15
46,2016-04-24,8.1,8.35,8.5,8.01,52060.0,-4.26
